sentence,label
The amendments in ASU 2014-12 require that a performance target that affects vesting and that could be achieved after the requisite service period be treated as a performance condition.,8
"Even though we are making progress, our FY19 carbon footprint was flat compared to the FY15 baseline.",0
The impact of the 2006 acquisitions accounted for 2% of the product sales growth in 2007.,8
We work and live in these communities so we have a vested interest in seeing our neighborhoods thrive.,5
Our employees in France and Brazil account for approximately 3 percent of our global workforce.,3
These dollars will be dedicated to the education of future farmers in the area of the 4Rs so that the next generation understands the importance of using our products correctly to minimize environmental impact.,5
That’s why we partner closely with our suppliers through our Clean Water Program.,1
"IPG’s Board has consistently maintained this level of diversity or greater, in line with recommendations by the 30% Club on gender diversity – of which IPG is a member and represented on the organization’s U.S.",3
"We reduced Shoshone’s water use by more than half and allowed water to be stored for critical uses, benefitting users throughout the state.",1
"We strive to be a good neighbor in each of the communities we serve, and that includes mitigating noise through our goal of meeting current aircraft noise standards and abiding by locally established curfews.",5
The Energy Sustainability Director has an annual responsibility to reduce Huntington ’s carbon footprint and monitor ac tivities related to greenhouse gas emissions .,0
"The Company does not own or operate any mines , and we do not focus our environmental reporting on water in our own operations at this time as we believe that Tiffany’s water impacts are relatively low.",1
"Apple Park, our newest corporate headquarters, obtains about 75 percent of its power from onsite fuel cells and rooftop solar PV panels.",0
"Two seismicity concepts may have a potential impact on Apache’s operations in the United States: events caused by large scale salt water “disposal,” and events caused by hydraulic fracturing.",4
"Section 162(m) of the Internal Revenue Code provides that compensation in excess of $1,000,000 paid to certain of our NEOs is generally not deductible unless it is performance-based.",6
"U.S.: Since 2008, we have reduced trans fat to zero grams in more than 270 of our U.S. retail products, including Betty Crocker Rich & Creamy Frosting, Pillsbury Toaster Strudel, Toaster Scrambles, low-fat Pillsbury breads, reduced-fat crescents, reduced-fat sweet rolls, reduced-fat biscuits, and the Simply... line of cookies, bread and biscuits.",4
"In 2008, employees throughout our enterprise pledged/raised a total of $31.9 million in contributions, increasing their giving from the previous year by an impressive 15 percent.",5
"Across the country, approximately 30 properties are currently undergoing active remediation and monitoring for hazardous materials – in many cases tied to tenants who formerly performed dry cleaning operations on-site.",2
The Proxy may also be revoked by attending the Annual Meeting and voting in person.,6
"As a result, this is where we focus our efficiency efforts, pursuing new ways to mitigate and reduce emissions to solidify our environmental goals for the long term.",0
"More than 90 percent of the water we use in our can plants returns to the watershed after treatment, with the remainder primarily evaporating.",1
"Environmental Responsibility Report | 2014 Progress Report, Covering FY2013 Our current home also runs on 100 percent renewable energy.",0
"Any violation of human rights at any point in our supply chain has the potential to negatively impact our reputation, our business relationships, and our ability to reach new customers and new markets.",3
"To help students everywhere succeed, we invest in innovative and effective education organizations, tools and solutions, and technology.",5
"If we fail to maintain or, in newer markets establish, a positive reputation concerning our service, including the content we offer, we may not be able to attract or retain members, and our operating results may be adversely affected.",8
"The pandemic had an approximate 14 percent impact on our performance, improving our absolute water withdrawal by more than 38 percent from the 2015 baseline, and reducing absolute water use by 75 percent from 2000.",1
These expense increases were partially offset by increases in gross profit dollars.,8
"We manage risk by applying policies, processes and technologies to maintain our focus on having zero incidents.",3
The Mid land office conducted a third-party waste audit in early 2017 to develop a baseline for its improvement and scored a 54 percent for total diversion of waste from landfill.,2
"These mechanisms are in place, in part, to limit any financial incentives to increase customer usage.",7
"We’ve used the leading GreenScreen tool, as well as the EPA Safer Choice criteria, within our supply chain, leading to the transition of 100 percent of our final assembly sites to safer alternatives for cleaners and degreasers.",3
"In 2016, Kimco employees volunteered a total of 476 hours through this program.",5
EU Timber Regulation The EU Timber Regulation helps to reduce illegal logging by ensuring that no illegal timber or timber products can be sold in the European Union (EU).,1
"And , following earthquakes in Mexico in 2017, Fomento Social Banamex , which leads our philanthropic efforts in Mexico in close coordination with the Citi Foundation , received more than $6 million in public donations and matched those funds with support from other foundations , to contribute more than $ 12 million to relief and recovery efforts .",5
The program is intended to help communities protect residents from potential chemical hazards.,5
"To that end, we have a robust internal authorization process for all political engagement activities.",7
"On an ongoing basis, we evaluate our estimates, assumptions, and judgments, including those related to revenue recognition, inventory valuation, business combinations, and goodwill impairment.",8
It is Nasdaq’s policy to comply with the provisions of the Fair Labor Standards Act (U.S.) and applicable state and local wage laws.,3
"This requires diligent work—to build a comprehensive picture of chemicals across our supply chain, to promote the use of better chemical management processes and safer chemical alternatives, and to innovate through design for smarter approaches to making our products.",4
"In our major markets, on issues of the highest priority, we maintain regular dialogue with legislators and regulatory officials.",7
"As the debate over consumer privacy continues, we will strive to maintain the highest standards of data protection and proper data usage as we work toward our 2014 goals.",4
"The new iPhone 12 design, for example, allows for more repairs to be performed at more repair locations than ever before.",4
"As the data threat landscape continually changes and regulation becomes more complex, our layered approach to cybersecurity, data privacy and data management continuously evolves to protect our customers, partners and associates.",4
"As of December 31, 2017, the Company’s net investment under the Preferred Equity Program was $201.9 million relating to 357 properties, including 344 net leased properties.",8
"As the US FWS decides whether to list the monarch butterfly as a protected species under the ESA, AEP is working with stakeholders to protect the monarch.",1
The Audit Committee also reviewed and discussed with the independent accountants the matters required to be discussed by Statement of Accounting Standards No.,6
Union Relationships About 60 percent of our employees are union-represented.,3
Lower average debt outstanding during 2002 resulted in a decrease in interest expense of $23 million.,8
Southwestern Electric Power Company (SWEPCO) was recognized as an ENERGY STAR Partner of the Year for its program in Arkansas.,0
"Hydraulic fracturing requires large amounts of water to stimulate oil and gas production, and we recognize stakeholder concerns that our operations may compete with other fresh water uses.",1
The aim is to divert 100 percent of waste from landfills.,2
Subset target: Zero-waste certification for one Humana site TBD.,2
"We will continue to be leaders in creating, developing, and validating alternative methods to proving and providing product safety.",4
"WASTEWATER TREATMENT Industrial and municipal wastewater can contain various organic pollutants such as petroleum, pharmaceutical, pesticide and other herbicide compounds that require treatment prior to discharge to surface water bodies.",2
"We do track this; however, we do not publicly report on this due to employee privacy concerns and any pending legal or regulatory actions (information is subject to specific confidentiality constraints).",3
Our teams also review test reports from suppliers to evaluate substances against the RSS and Restricted Chemicals for Prolonged Skin Contact Materials list.,4
"We strive to ensure that all employees are committed to living the Cabot values of integrity, respect, excellence and responsibility.",7
"The Ahlin Yaung program , meaning “light ” in Burmese, has enabled over 240,000 people to benefit from solar energy, including helping households to shift from kerosene and wood-based energy sources to solar.",0
"In Europe, we have worked closely with both the U.K. Department for Transport and Odette International, the European automotive supply chain standards organization, in writing guidance on measuring and reporting GHG emissions.",0
"For example, the Walmart Foundation provided funding to the World Resources Institute to implement and accelerate adoption of its Food Loss and Waste Protocol, a publicly available approach to measure food waste and loss.",5
We had no breaches of antitrust in 2016.,7
The annual sustainability report identifies corporate political contributions made by AEP for the year.,7
"During 2015, we also distributed our Foreign Corrupt Practices Act Policy and Anti-Corruption Compliance Procedures to all Company Officers, Senior Leaders of all departments, and select Employees and contractors who are involved with Southwest’s financial records and/or international operations.",7
"In 2003, when United States municipal recycling programs were generally stagnant, we joined with some of our aluminum suppliers and competitors to start the Curbside Value Partnership (CVP) to improve the participation levels and efficiency of local curbside recycling programs (www.recyclecurbside.org).",2
"As of November 2018, World Wildlife Fund has fully invested the funds raised in conservation projects spanning all seven continents.",1
"We found that most companies are responding to the recommendations of the TCFD, which has quickly become a standard overarching framework to review and assess climate risk.",0
Approximately 18.3 million pounds (8.3 million kilograms) of CO2e emissions were avoided through our renewable energy program in fiscal 2008.,0
Local Syosset and Jericho Middle School eighth-graders visited our Jericho headquarters to pitch their idea of a new bike rack and bike lane at our Jericho Commons shopping center.,5
"This equates to avoiding 164,000 metric tons of GHG emissions, while adding jobs in the respective regions and building a pipeline of recovered materials for various industries.",0
Violations of these rules will subject us to significant penalties.,7
The majority of current sales come from recycling scrap metal.,2
"At specific sites, distributed generation technologies, like solar PV, can produce energy more cost-effectively than traditional technologies.",0
"We have provided to our directors, officers and other employees a toll-free compliance hotline and a Web site by which they may report on an anonymous basis any observation of unethical behavior or suspected violation of our Code of Conduct.",7
"While U.S. federal law prohibits the Company from contributing to candidates for U.S. federal office and national party committees, we do make contributions to state political parties and to candidates for state office in states where such contributions are permitted.",7
We establish and enforce guidelines to ensure our suppliers operate ethically and responsibly throughout our supply chain.,7
The PAC Steering Committee evaluates candidates on the basis of their views on issues that impact not only Pfizer but our patients as well.,7
"General Mills has been in full compliance with CFBAI standards since their inception in 2006, including the Uniform Nutrition Standards that took effect in December 2013.",4
"So we began to focus on using the power of sport to help youth affected by natural disasters to deal with the trauma of losing loved ones, their homes, their possessions and sometimes even their communities.",5
"It will also help us achieve our goal of delivering $500 million of global good by 2025, which includes meal donations.",5
"WTIC – Hartford, Connecticut Since 2009, WTIC has partnered with Interval House, the largest agency providing support to domestic violence victims in Connecticut.",5
"As we shut down the equipment, the assets' fair values were determined to be zero.",8
"As we navigated the second year of the pandemic in 2021, our global employees and teams continued giving back virtually and through limited in-person activities.",3
"Under the oversight of and with input and feedback from the Ethics and Culture Committee, senior management has prioritized a number of efforts to further embed our values and conduct expectations into the organization.",7
Rules of conduct will be provided to you at the annual meeting.,7
"We are always looking for more efficient, safer, cost-effective and environmentally friendly ways of managing vegetation in our ROWs.",1
"Because a one-time sludge removal project in 2017 increased the overall amount of waste generated, we removed the quantity of waste generated from that project from year-over-year trending to provide a better evaluation of progress within our ongoing operations.",2
"Last year, Apache and its employees donated $13.4 million toward corporate outreach endeavors worldwide.",5
We are making progress in identifying viable replacements for nonrenewable materials.,1
"At the 2015 annual meeting, holders of our common stock, $0.01 par value per share, will be asked to elect twelve directors; to cast a non-binding advisory vote to approve the compensation of our named executive officers as disclosed in this proxy statement; to ratify the appointment of KPMG LLP as our independent registered public accounting firm for the year ending December 31, 2015; and to act on any other proposal that may properly come before the annual meeting or any adjournment or postponement thereof.",6
The training focus is to identify and report warning indicators for any potential human rights violations observed in any supplier location around the world.,3
"For the purposes of Kimco’s waste reporting, incineration by municipalities and other municipal disposition methods are classified as “landfill.” The vast majority of waste collected as a result of Kimco’s management efforts is generated by tenants, but total waste collected is not inclusive of all tenants as some are responsible for their own waste disposition programs.",2
These treasury lock agreements expire in September 2003 and are used to hedge the exposure to a possible rise in interest rates prior to the anticipated issuance of debt.,8
"Showing great promise, these batteries are designed to power longer-range, lower-cost, and safer electric vehicles using existing lithium-ion battery manufacturing infrastructure.",4
The election of directors need not be by written ballot.,6
"In short, things were not looking good for our Meals On Wheels programs and the hundreds of thousands of seniors who depend on them – in many instances for their very lives. And then came the Wal-Mart Foundation. Their decision to join us in the fight to end senior hunger by becoming our partner is a life-saver. We call this partnership the MOWAA/Wal-Mart Foundation Cure Grants because these grants are going to our local Meals On Wheels to help them cure the disease of hunger. These grants will be used by our local programs to end waiting lists, to add routes where there was no capacity to do so before, and to help dozens of local meal programs in 40 states reverse the progression of the disease of senior hunger by replenishing resources that allow them to feed America’s often times forgotten seniors.",5
"Restricted Substances Lists Nike has implemented restricted substances lists (RSL) for ﬁnished product, manufacturing (MRSL) and packaging (PRSL).",4
Take a look at where we are and what we’re doing to slow down climate change.,0
"The quality assurance tests for monitoring systems include daily calibration tests, quarterly assessments of data trends, and periodic relative accuracy test audits that compare the monitored values to actual stack testing data.",4
"Williams 2020 Sustainability Report Additionally, with the help of Williams’ funding, the Oglebay Good Zoo in Wheeling, West Virginia, is caring for two female red wolves that could potentially be bred in coming years and then released into the wild as part of the U.S.",1
Our partnership with labor unions is critical to meeting the growing expectations of our customers.,3
"Relying only on the limited data available from the Federal Election Commission, the Internal Revenue Service, and the Center for Responsive Politics, a leading campaign finance watchdog organization, and Political Money Line provides an incomplete picture of the Company's political donations.",7
"Market potential studies completed in 10 states help us identify the technical, economic and achievable energy and demand reduction potential in homes, businesses, schools and other facilities.",0
"As a result, the movement of Basel-controlled wastes for recycling or resource recovery into or from the U.S. to nearly all other countries in the world is highly restricted, requiring specific trade agreements with that country.",2
"We recognize the complexity of and interest around the broad issue of wages, and we address our efforts in this area both below and in the Manufacturing section of this report.",3
"The Supplier Clean Energy Program now has 7.8 gigawatts of clean energy commitments, of which 2.7 gigawatts was operational in 2019.",0
"Hazard reporting processes facilitate timely investigation and follow-up, thereby helping ensure learnings are promptly acted upon to keep our colleagues and collaborators healthy and safe so they remain engaged and productive.",3
The Audit Committee operates under charter adopted by the Board; that charter may be viewed on the Company's website.,6
Automobiles are some of the most highly recycled consumer products in the world.,2
Protecting water resources is also an important factor in our overall sustainability efforts.,1
"Training and Education Through continuous development, we work to give our employees the professional tools — strategic, conceptual, analytical, operational and interpersonal — they need.",3
"Comments: In 2017, State Street updated its three main environmental goals, and the waste goal was changed from “Diversion from Landfill Rate” to “Recycling Rate,” with a 2025 end date against a 2015 baseline.",2
"By slightly heating and melting the cheese, pizza toppings are secured in place, reducing food waste on the line.",2
Consumer Privacy AT&T takes customer privacy very seriously.,4
"The balance retained in cash and cash equivalents is a function of anticipated or possible short-term cash needs, prevailing interest rates, our investment policy, and alternative investment choices.",8
Our responsibility as an employer is to provide a safe work environment and promote wellness across the workforce.,3
Seven meetings of the Committee were held in 2000.,6
"Keeping data safe from cybersecurity risks, adhering to applicable state and federal privacy regulations, and applying sound data management practices are the foundational business tenets we live by every day.",7
"Open positions are posted, and employees are highly encouraged to apply for promotion within the organization.",3
"Agilent also has policies in place to prohibit or restrict the use of certain particularly hazardous chemicals such as carcinogenic, mutagenic or reprotoxic substances.",2
"When our employees, health plan members and medical clinic patients need us, we are there for them — especially when they need us most.",3
"And to help prevent plastic, foam and other nonmetal materials, known as “automotive shredder residue” (ASR), from ending up in landfill, we support the development and implementation of post-shredder-residue treatment technologies, which make the actual recycling of ELVs more economically and ecologically viable.",2
"Sustainability Accounting Standards Board (SASB) Materiality Framework Based on input from investors, companies, and other market stakeholders, SASB’s materiality framework improves the efficiency of capital markets by encouraging transparency and disclosure of sustainability information that is material to the investment community",6
"However, Agilent has still embarked on local water conservation programs at many of our sites.",1
CF promotes responsible handling of products by agribusinesses through its support of the ResponsibleAg program.,5
"We strive to meet and exceed all regulatory safety standards established by local and federal regulators, as well as our own internal standards for a safe work environment.",3
"At the June 12, 2001 meeting of the Committee, Towers Perrin reviewed the competitiveness of the compensation program for Atmos non-employee directors and recommended that the Company make certain changes to the non-employee director compensation program in order to bring the program in line with the 50th percentile of competitive practice.",6
"As we move forward with the pollinator initiative, we are focusing on developing habitat that can be sustained, allowing time for the sites to develop.",1
The Code also reiterates the Company’s commitment to equal opportunity and strict forbiddance of discrimination.,7
"The CEO is eligible to participate in the same executive programs as the other NEOs; however, a larger portion of the CEO's target total compensation is at risk.",6
"In addition, we are committed to investing $2.1 billion in contracted renewables from 2020 through 2024 across the U.S. Today, this competitive business manages a renewable portfolio of 1,572 MW across 11 states.",0
"Also, on December 12, 2002, Mr. Cash was nominated as a Director to be elected at this year's shareholder meeting.",6
I Provided relief and recovery assistance and support to communities affected by the tsunami disaster in South Asia; hurricanes along the U.S. Gulf Coast and in Central America and the Caribbean; and the earthquake in Pakistan.,5
"In addition to our company wide giving programs, each of our brands contributes to their communities in a way that aligns with both the brand and the priorities of its employees.",5
"However, ambiguity exists in regard to the severity and timing of risk to human health due to climate change, including precipitation changes and changes in the frequency and intensity of extreme weather events.",0
"One of the most significant and far-reaching elements of this initiative is a collaboration with One Economy, Habitat for Humanity affiliates and other low-income housing providers to deliver technology packages, including Internet access, to 50,000 low-income families.",5
"These achievements in climate stewardship are a testament to the collective actions our associates take to operate more efficiently, and more sustainably, worldwide.",0
"The Company is committed to operating its business in full compliance with all applicable laws, including the laws relating to equal employment opportunity.",3
"In conjunction with its capital return program, in May 2013 the Company issued $17.0 billion of notes with varying maturities through 2043.",8
"In recognition of our vegetation management practices, the Arbor Day Foundation named Xcel Energy a “Tree Line USA Utility” for the 17th consecutive year.",0
"Ethical Business Conduct: Agilent’s Standards of Business Conduct requires that business be conducted with honesty, and reflects high ethical standards that are the basis for achieving our goals.",7
The transition tax can be paid over eight years.,8
"Training and development We recognize that continuous, life-long learning is a business advantage and a personal advantage to our employees.",3
Data Security and Privacy FLEETCOR is committed to protecting the information assets of our customers.,4
A corporate compliance policy committee governs the companywide compliance program.,6
"The exercise of an ISO will not result in taxable income to the Participant or a deduction for us provided that the Participant was, without a break in service, an employee of us and its eligible corporate subsidiaries during the period beginning on the date of the grant of the ISO and ending on the date three months prior to the date of exercise (one year prior to the date of exercise if the Participant is disabled, as that term is defined in the Internal Revenue Code).",3
The percentage of IPG employees covered by collective bargaining is zero – 0 percent.,3
"Many of our employees, including the CEO, have diversity action plans as part of their annual performance evaluations.",3
"Last year equipment remanufacture diverted 361,530 pounds of waste from recycling to reuse.",2
"The Pipeline and Storage capital expenditures for 2012 also include additions, improvements, and replacements to this  - 52 -  Table of Contents  segments transmission and gas storage systems.",8
When Accent Engineering owner Tommy Martin invented the SmartCrop system – a series of sensors that collect data on plants and determine when they need to be watered – he knew he was helping farmers save thousands of dollars a year on their water bills.,1
"Interest, net for fiscal 2015 totaled $315 million, $13 million higher than fiscal 2014, primarily driven by higher average debt balances, partially offset by changes in the mix of debt.",8
"To reduce our carbon impact from shipping, we’ve focused on maximizing system efficiencies and prioritizing modes of transport with lower carbon impacts.",0
"Each year, all employees are required to review the policy, report any violations or conflicts of interest and affirm their obligation to report future violations to management.",7
"Poor water management policies , insufficient infrastructure and a lack of effective pricing mechanisms are major contributors to an impending global water crisis .",1
"Surveys by the Wall Street Journal and the Investor Responsibility Research Center each found that, on the average, corporations were paying their ""independent"" auditors three times more for ""other"" work than for their audit work.",6
Ball’s various North American packaging facilities have been conducting annual water surveys since 2008.,1
"In response to this challenge, General Mills announced in 2013 our commitment to sustainably source 100 percent of our 10 priority ingredients by 2020 – representing more than 50 percent of our annual raw material purchases.",1
"Through these fundraising efforts, Apache employees have raised more than $1.3 million to combat MS.",5
"For purposes of determining compliance with the limit set forth in this Section 5(a), any shares subject to an Award which is (i) an Option or SAR shall be counted against this limit as one (1) share for every share subject to such Award, and (ii) not an Option or SAR shall be counted against such limit as 1.8 shares for every share subject to such Award.",6
"Also, wildlife deterrent systems are included as part of the construction of impoundments, to reduce potential hazards to wildlife and the potential for wildlife to damage the containment.",1
"In 2010, we aspire to reduce the electricity consumption of our company relative to data growth on our network by 16 percent as compared with year 2009.",0
"Examples of new standards to be put into place include requiring suppliers who provide residential and dining facilities for their workers to provide safe, healthy and sanitary facilities.",3
Diversion has become more challenging as the economics of recycling have become less favorable and waste haulers have become more discerning regarding contamination (recycling that contains non-recyclable materials).,2
We have communicated to our third-party vendors and raw material and product suppliers not to formulate or use ingredients listed on any of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) appendices or the International Union for Conservation of Nature (IUCN) Red List.,1
The Board held six meetings during 2008.,6
Margins increased as a result of improved operational strategies put in place by the Energy Marketing segments new management team.,8
Our Sysco Management Development Program and Sysco STEP program increase development opportunities for diverse associates at various levels.,3
"Ford’s most significant impacts on land use and biodiversity are indirect and related to the effects of auto travel generally, including road building, urban/suburban sprawl and associated changes to habitats and ecosystems.",1
"Recovery efforts in Puerto Rico continued well into 2018, during which time AEP deployed 157 employees, including incident command teams and frontline workers, in support of the mission.",3
"Financial Restructuring  As discussed previously, both the continuing and discontinued operations of NRG in 2002 included material losses for asset impairments and estimated disposal losses.",8
"The network that forms the core of our business requires a controlled and cooled environment, and water is oftentimes a critical input to the cooling equipment we use to create those conditions.",1
"On an annual basis, we expect that this will eliminate the printing of 350 million pages and create savings of $20 million.",2
This allows us to seek out and develop safer chemistries that have an impact on each phase—and contribute to continually improving the overall safety of our products and processes.,4
"In Minneapolis alone, 80-plus General Mills volunteers helped build Habitat for Humanity homes this past summer.",5
"Notwithstanding any other provision of the Plan, except as provided in Section 5.11 below or as otherwise provided in an Award Agreement, if the Committee finds by a majority vote that: (i) the Grantee, before or after termination of his or her employment or service with the Company or a Subsidiary (as used in this Section 5.10, an “Employer”) for any reason, (a) committed fraud, embezzlement, theft, a felony, or proven dishonesty in the course of his or her employment or other engagement by Employer, and by such act damaged Employer, or (b) disclosed trade secrets of Employer; (ii) the Grantee, before or after termination of his or her employment or other engagement with Employer for any reason, participated, engaged or had a financial or other interest (whether as an employee, officer, director, consultant, contractor, stockholder, owner, or otherwise) in any commercial endeavor in the United States competitive with the business of Employer (a) in violation of the Sysco Corporation Code of Business Conduct, as in effect on the date of such participation or other engagement, or (b) in such a manner that would have violated the Code of Business Conduct had Grantee been employed by Employer at the time of the activity in question; or (iii) has violated the compensation, clawback and recoupment policies that may be applicable to the Grantee, then any outstanding Awards which, in the case of Options or SARs, have not been exercised and, in the case of Awards other than Options or SARs, have not vested, will be forfeited.",7
"Based on current resource plans, up to 3,766 MW of solar energy and 5,050 MW of wind energy additions are projected to come online between 2020 and 2030.",0
"As a result, we encourage sustainable commuting options and flexible work solutions that reduce commuting.",3
Making the investments necessary to upgrade and replace our aging transmission and distribution grid is essential to maintaining the highest levels of reliability and resiliency.,4
"We joined the World Resources Institute (WRI) Aqueduct Alliance, a coalition of organizations at the forefront of thought leadership in water stewardship.",1
These results were third-party verified and registered with The Climate Registry in early 2011.,0
We coat all new pipelines with modern coating systems that act as the primary barrier to corrosion.,4
Walmart Canada and Walmart Mexico are diverting more than 70 percent of their waste.,2
"In addition, all of our flavors of Betty Crocker SuperMoist cake mixes now have 0 grams of trans fat – just one slice of our ongoing, multiyear effort to remove trans fat from all of our products.",4
We fully expect future currency exchange rates and market conditions to impact this measurement and potentially impact future CO2 per net sales ratios either for the positive or for the negative.,0
"The Company believes that internally generated funds, its short-term credit facilities and access to the debt and equity capital markets will provide necessary working capital and liquidity for capital expenditures and other cash needs for 1995.",8
The Dawes Arboretum project replicates a post-construction restoration scenario and uses a native prairie seed mix to meet these requirements.,1
"At December 31, 2018, the Company held long-term credit ratings of BBB (stable outlook) and Baa2 (stable outlook) by S&P and Moody’s, respectively.",8
"The decrease in operating income in fiscal 2013 as compared to fiscal 2012 was primarily driven by increased expenses, including charges related to our Business Transformation Project and increased pay-related expenses.",8
